Index,Time [s],P [mbar],AX [m/s2],AY [m/s2],AZ [m/s2],AMag [m/s2]
309,0.15087890625,982.6,-1.6,-1.9,-1.6,2.95
310,0.1513671875,982.6,0.1,0.1,-2.5,2.5
311,0.15185546875,982.6,0.3,1.2,-1.2,1.72
312,0.15234375,982.6,1.2,-0.1,-2.5,2.77
313,0.15283203125,982.6,-1.2,-1.1,-0.8,1.81
314,0.1533203125,982.6,0.8,0.1,-1.2,1.45
315,0.15380859375,982.6,-1.2,-0.2,1.1,1.64
316,0.154296875,982.6,0.8,2.1,-2.0,3.01
317,0.15478515625,982.6,-2.4,-0.2,0.1,2.41
318,0.1552734375,982.6,1.8,0.7,-1.6,2.51
319,0.15576171875,982.6,-0.1,-0.7,-0.1,0.71
320,0.15625,982.6,0.3,0.9,-2.0,2.21
321,0.15673828125,982.6,-1.6,-1.5,-1.4,2.6
322,0.1572265625,982.6,0.6,0.7,-2.1,2.29
323,0.15771484375,982.6,-0.1,-0.7,0.9,1.14
324,0.158203125,982.6,0.1,-0.1,-1.6,1.61
325,0.15869140625,982.6,-1.6,-0.9,0.1,1.84
326,0.1591796875,982.6,-1.5,-0.5,-2.7,3.13
327,0.15966796875,982.6,-0.1,-0.2,-0.6,0.64
328,0.16015625,982.6,1.4,0.3,-1.0,1.75
329,0.16064453125,982.6,-1.8,0.0,-0.1,1.8
330,0.1611328125,982.6,0.6,1.7,-2.5,3.08
331,0.16162109375,982.6,-0.8,-2.5,-0.6,2.69
332,0.162109375,982.6,1.0,-0.1,-3.7,3.83
333,0.16259765625,982.6,0.1,-2.9,-0.6,2.96
334,0.1630859375,982.6,0.1,1.3,-2.0,2.39
335,0.16357421875,982.6,0.3,-1.5,0.3,1.56
336,0.1640625,982.6,0.3,-0.1,-1.4,1.44
337,0.16455078125,982.6,-0.8,-0.7,-1.4,1.76
338,0.1650390625,982.6,1.4,0.1,-1.6,2.13
339,0.16552734375,982.6,-0.3,-0.7,0.5,0.91
340,0.166015625,982.6,2.4,1.5,-1.6,3.25
341,0.16650390625,982.6,-1.6,0.4,-1.8,2.44
342,0.1669921875,982.6,1.0,0.7,-2.9,3.15
343,0.16748046875,982.6,-0.4,-1.1,-0.6,1.32
344,0.16796875,982.6,1.4,0.3,-1.8,2.3
345,0.16845703125,982.6,-1.6,-2.3,-1.2,3.05
346,0.1689453125,982.6,1.0,0.3,-2.1,2.35
347,0.16943359375,982.6,-2.6,-1.7,0.1,3.11
348,0.169921875,982.6,0.5,0.9,-3.3,3.46
349,0.17041015625,982.6,-2.6,-0.4,-0.8,2.75
350,0.1708984375,982.6,-0.1,0.3,-2.3,2.32
351,0.17138671875,982.6,-1.0,-1.7,-0.1,1.97
352,0.171875,982.6,0.1,1.1,-3.1,3.29
353,0.17236328125,982.6,0.3,-0.9,-0.4,1.03
354,0.1728515625,982.6,0.1,0.1,-3.1,3.1
355,0.17333984375,982.6,-2.0,-1.3,-1.0,2.59
356,0.173828125,982.6,2.4,-0.1,-1.8,3.0
357,0.17431640625,982.6,-0.8,-1.7,0.3,1.9
358,0.1748046875,982.6,0.6,2.7,0.0,2.77
359,0.17529296875,982.6,0.7,-1.3,-0.6,1.59
360,0.17578125,982.6,0.8,2.3,-1.4,2.81
361,0.17626953125,982.6,-2.0,-0.9,-0.4,2.23
362,0.1767578125,982.6,0.8,1.7,-2.3,2.97
363,0.17724609375,982.6,-0.8,-2.5,-1.2,2.89
364,0.177734375,982.6,2.2,1.9,-2.5,3.83
365,0.17822265625,982.6,-1.6,-1.9,1.3,2.8
366,0.1787109375,982.6,1.2,0.5,-1.2,1.77
367,0.17919921875,982.6,-1.6,-0.9,-1.0,2.09
368,0.1796875,982.6,0.5,1.9,-1.2,2.3
369,0.18017578125,982.6,-1.6,-1.3,-2.2,3.01
370,0.1806640625,982.5,1.4,1.7,-2.9,3.64
371,0.18115234375,982.5,-2.6,-1.7,-0.2,3.11
372,0.181640625,982.5,-0.7,0.7,-2.7,2.88
373,0.18212890625,982.5,-1.0,-1.1,0.9,1.74
374,0.1826171875,982.5,0.1,0.7,-0.2,0.73
375,0.18310546875,982.5,-0.4,-4.3,-0.4,4.34
376,0.18359375,982.5,-0.7,0.9,-2.3,2.57
377,0.18408203125,982.5,-1.0,-3.3,0.1,3.45
378,0.1845703125,982.5,1.4,-0.1,-2.3,2.69
379,0.18505859375,982.5,-1.0,-1.7,-0.4,2.01
380,0.185546875,982.5,0.3,2.1,-3.5,4.09
381,0.18603515625,982.5,-0.3,-2.3,-1.4,2.71
382,0.1865234375,982.5,0.5,2.1,-1.8,2.81
383,0.18701171875,982.5,-0.6,-2.5,-1.8,3.14
384,0.1875,982.5,0.5,1.9,-2.3,3.02
